"id","title","author","issue","volume","venue","page","pub_date","type","publisher","editor"
"meta:br/060961 doi:10.4230/lipics.icalp.2020.109","Cost Automata, Safe Schemes, And Downward Closures","Barozzini, David [meta:ra/0607608]; Clemente, Lorenzo [meta:ra/061507819816 orcid:0000-0003-0578-9103]; Colcombet, Thomas [meta:ra/067062029 orcid:0000-0001-6529-6963]; Parys, Pawel [meta:ra/0614045802 orcid:0000-0001-7247-1408]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607609]","Artur Czumaj [meta:ra/0607590 orcid:0000-0002-7743-438X]; Dawar, Anuj [meta:ra/067073847 orcid:0000-0003-4014-8248]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]"
"meta:br/060947 doi:10.4230/lipics.giscience.2021.ii.13","Automated Georeferencing Of Antarctic Species","Scott, Jamie [meta:ra/0607566 orcid:0000-0001-5232-1613]; Stock, Kristin [meta:ra/0626089239 orcid:0000-0002-5828-6430]; Morgan, Fraser [meta:ra/0622011802 orcid:0000-0002-7964-3361]; Whitehead, Brandon [meta:ra/065087493 orcid:0000-0002-0337-8610]; Medyckyj-Scott, David [meta:ra/0607567 orcid:0000-0001-5234-9923]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607568]","Janowicz, Krzysztof [meta:ra/0607569]; Verstegen, Judith Anne [meta:ra/0623011098 orcid:0000-0002-9082-4323]"
"meta:br/060167 issn:2703-0016 issn:2702-9999","Kultur- Und Medientheorie","","","","","","","book series","",""
"meta:br/060300 doi:10.4230/lipics.ccc.2020.17","Limits Of Preprocessing","Filmus, Yuval [meta:ra/0605620]; Ishai, Yuval [meta:ra/0605621]; Kaplan, Avi [meta:ra/0605622]; Kindler, Guy [meta:ra/0605623]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605624]","Shubhangi Saraf [meta:ra/0605625]"
"meta:br/060757 doi:10.4230/lipics.esa.2020.75","Generalizing CGAL Periodic Delaunay Triangulations","Osang, Georg [meta:ra/0616073704 orcid:0000-0002-8882-5116]; Rouxel-Labbé, Mael [meta:ra/0607040]; Teillaud, Monique [meta:ra/0604392 orcid:0000-0003-2568-7024]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607041]","Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]; Sanders, Peter [meta:ra/0619054475 orcid:0000-0003-3330-9349]"
"meta:br/060375 doi:10.4230/lipics.concur.2020.22","Decidability Of Cutpoint Isolation For Probabilistic Finite Automata On Letter-Bounded Inputs","Bell, Paul [meta:ra/0612046523 orcid:0000-0003-2620-635X]; Semukhin, Pavel [meta:ra/06107883 orcid:0000-0002-7547-6391]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605911]","Konnov, Igor [meta:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [meta:ra/0614082191 orcid:0000-0002-8299-2714]"
"meta:br/060396 doi:10.4230/lipics.concur.2020.47","Parametrized Universality Problems For One-Counter Nets","Almagor, Shaull [meta:ra/0617092470 orcid:0000-0001-9021-1175]; Boker, Udi [meta:ra/0605968]; Hofman, Piotr [meta:ra/0615033521 orcid:0000-0001-9866-3723]; Totzke, Patrick [meta:ra/065071442 orcid:0000-0001-5274-8190]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605969]","Konnov, Igor [meta:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [meta:ra/0614082191 orcid:0000-0002-8299-2714]"
"meta:br/060429 doi:10.4230/lipics.concur.2021.35","Generalising Projection In Asynchronous Multiparty Session Types","Majumdar, Rupak [meta:ra/0606071]; Mukund, Madhavan [meta:ra/0606072]; Stutz, Felix [meta:ra/0605932 orcid:0000-0003-3638-4096]; Zufferey, Damien [meta:ra/0621090237 orcid:0000-0002-3197-8736]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606073]","Haddad, Serge [meta:ra/06407027331 orcid:0000-0002-1759-1201]; Varacca, Daniele [meta:ra/0606074]"
"meta:br/060200 doi:10.4230/lipics.aofa.2020.8","More Models Of Walks Avoiding A Quadrant","Bousquet-Mélou, Mireille [meta:ra/0605218 orcid:0000-0002-2863-8300]; Wallner, Michael [meta:ra/0614023172 orcid:0000-0001-8581-449X]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605219]","Michael Drmota [meta:ra/0605187 orcid:0000-0002-6876-6569]; Heuberger, Clemens [meta:ra/0612046279 orcid:0000-0003-0082-7334]"
"meta:br/060704 doi:10.4230/lipics.esa.2020.19","An Algorithmic Study Of Fully Dynamic Independent Sets For Map Labeling","Bhore, Sujoy [meta:ra/0612036543 orcid:0000-0003-0104-1659]; Li, Guangping [meta:ra/065090243 orcid:0000-0002-7966-076X]; Nöllenburg, Martin [meta:ra/061509545 orcid:0000-0003-0454-3937]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606907]","Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]; Sanders, Peter [meta:ra/0619054475 orcid:0000-0003-3330-9349]"
"meta:br/06034 doi:10.1002/(sici)1097-0215(20000115)85:2<166::aid-ijc3>3.0.co;2-l","Detection And Genetic Polymorphism Of Human Herpes Virus Type 8 In Endemic Or Epidemic Kaposi's Sarcoma From West And Central Africa, And South America","Fouchard, Nathalie [meta:ra/060189]; Lacoste, Vincent [meta:ra/0611016894 orcid:0000-0002-3173-4053]; Couppie, Pierre [meta:ra/060190]; Develoux, Michel [meta:ra/060191]; Mauclere, Philippe [meta:ra/060192]; Michel, Philippe [meta:ra/060193]; Herve, Vincent [meta:ra/060194]; Pradinaud, Roger [meta:ra/060195]; Bestetti, Giovanna [meta:ra/060196]; Huerre, Michel [meta:ra/060197]; Tekaia, Fredj [meta:ra/061208240 orcid:0000-0003-1934-2396]; De Thé, Guy [meta:ra/060198]; Gessain, Antoine [meta:ra/060199]","2","85","International Journal Of Cancer [meta:br/0622015443 issn:0020-7136 doi:10.1002/(issn)1097-0215 issn:1097-0215]","166-170","2000-01-15","journal article","Wiley [meta:ra/0610116001 crossref:311]",""
"meta:br/06010 doi:10.1002/(sici)1097-0142(19990501)85:9<1903::aid-cncr4>3.0.co;2-6","Human Papillomavirus And Prognoses Of Patients With Cancers Of The Upper Aerodigestive Tract","Pintos, Javier [meta:ra/06042]; Franco, Eduardo L. [meta:ra/06043]; Black, Martin J. [meta:ra/06044]; Bergeron, Jean [meta:ra/06045]; Arella, Maximilien [meta:ra/06046]","9","85","Cancer [meta:br/066016153 issn:0008-543X issn:1097-0142 doi:10.1002/(issn)1097-0142]","1903-1909","1999-05-01","journal article","Wiley [meta:ra/0610116001 crossref:311]",""
"meta:br/060281 doi:10.4230/lipics.approx/random.2021.51","Sampling Multiple Edges Efficiently","Eden, Talya [meta:ra/061206161021 orcid:0000-0001-8470-9508]; Mossel, Saleet [meta:ra/0605531]; Rubinfeld, Ronitt [meta:ra/0605532]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605533]","Wootters, Mary [meta:ra/0624053021 orcid:0000-0002-2345-2531]; Sanità, Laura [meta:ra/0690108433 orcid:0000-0002-6384-1857]"
"meta:br/060543 doi:10.4230/lipics.csl.2021.8","Are Two Binary Operators Necessary To Finitely Axiomatise Parallel Composition?","Aceto, Luca [meta:ra/0619074145 orcid:0000-0002-2197-3018]; Castiglioni, Valentina [meta:ra/063018723 orcid:0000-0002-8112-6523]; Fokkink, Wan [meta:ra/0618014922 orcid:0000-0001-7443-8978]; Ingólfsdóttir, Anna [meta:ra/0619074146 orcid:0000-0001-8362-3075]; Luttik, Bas [meta:ra/0612046365 orcid:0000-0001-6710-8436]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606382]","Baier, Christel [meta:ra/067062032 orcid:0000-0002-5321-9343]; Goubault-Larrecq, Jean [meta:ra/0624014097 orcid:0000-0001-5879-3304]"
"meta:br/060722 doi:10.4230/lipics.esa.2020.39","Practical Performance Of Space Efficient Data Structures For Longest Common Extensions","Dinklage, Patrick [meta:ra/06140102818 orcid:0000-0002-2004-6781]; Fischer, Johannes [meta:ra/0606959]; Herlez, Alexander [meta:ra/0604391 orcid:0000-0002-4605-1503]; Kociumaka, Tomasz [meta:ra/0612046305 orcid:0000-0002-2477-1702]; Kurpicz, Florian [meta:ra/0622065539 orcid:0000-0002-2379-9455]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606960]","Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]; Sanders, Peter [meta:ra/0619054475 orcid:0000-0003-3330-9349]"
"meta:br/060289 doi:10.4230/lipics.approx/random.2021.61","Testing Hamiltonicity (And Other Problems) In Minor-Free Graphs","Levi, Reut [meta:ra/0610110096 orcid:0000-0003-3167-1766]; Shoshan, Nadav [meta:ra/0605565]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605566]","Wootters, Mary [meta:ra/0624053021 orcid:0000-0002-2345-2531]; Sanità, Laura [meta:ra/0690108433 orcid:0000-0002-6384-1857]"
"meta:br/060813 doi:10.4230/lipics.esa.2021.65","The Visibility Center Of A Simple Polygon","Lubiw, Anna [meta:ra/0607196]; Naredla, Anurag Murty [meta:ra/0607197]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607198]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060271 doi:10.4230/lipics.approx/random.2021.4","Hardness Of Approximation For Euclidean k-Median","Bhattacharya, Anup [meta:ra/0605498]; Goyal, Dishant [meta:ra/0605499]; Jaiswal, Ragesh [meta:ra/0605500]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605501]","Wootters, Mary [meta:ra/0624053021 orcid:0000-0002-2345-2531]; Sanità, Laura [meta:ra/0690108433 orcid:0000-0002-6384-1857]"
"meta:br/060590 doi:10.4230/lipics.disc.2021.42","Game Theoretical Framework For Analyzing Blockchains Robustness","Zappalà, Paolo [meta:ra/0606567]; Belotti, Marianna [meta:ra/0606568]; Potop-Butucaru, Maria [meta:ra/0606569]; Secci, Stefano [meta:ra/0606570]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606571]","Gilbert, Seth [meta:ra/0606572]"
"meta:br/060848 doi:10.4230/lipics.fscd.2020.22","Size-Preserving Translations From Order-(n+1) Word Grammars To Order-n Tree Grammars","Asada, Kazuyuki [meta:ra/062602385732 orcid:0000-0001-8782-2119]; Kobayashi, Naoki [meta:ra/0615033524 orcid:0000-0002-0537-0604]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607304]","Zena M. Ariola [meta:ra/0607305]"
"meta:br/06074 issn:2365-1806 issn:2702-9557","Image","","","","","","","book series","",""
"meta:br/060133 isbn:9780631168485 isbn:9781405165808 doi:10.1002/9781405165808 doi:10.1111/b.9780631168485.1994.x","A Dictionary Of Military History And The Art Of War","","","","","","2017-08-11","reference book","Wiley [meta:ra/0610116001 crossref:311]","Corvisier, André [meta:ra/0604324]"
"meta:br/060580 doi:10.4230/lipics.disc.2021.27","Singularly Near Optimal Leader Election In Asynchronous Networks","Kutten, Shay [meta:ra/0606413 orcid:0000-0003-2062-6855]; Moses, William K. [meta:ra/0614099414 orcid:0000-0002-4533-7593]; Pandurangan, Gopal [meta:ra/0606414 orcid:0000-0001-5833-6592]; Peleg, David [meta:ra/0623038177 orcid:0000-0003-1590-0506]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606520]","Gilbert, Seth [meta:ra/0606521]"
"meta:br/060138 doi:10.1111/b.9780631230533.2004.x isbn:9780470999127 doi:10.1002/9780470999127 isbn:9780631230533","A Companion To Literature And Film","","","","","","2004","reference book","Wiley [meta:ra/0610116001 crossref:311]","Stam, Robert [meta:ra/0604330]; Raengo, Alessandra [meta:ra/0604331]"
"meta:br/060832 doi:10.4230/lipics.forc.2021.3","On The Computational Tractability Of A Geographic Clustering Problem Arising In Redistricting","Cohen-Addad, Vincent [meta:ra/0607252]; Klein, Philip N. [meta:ra/0607253]; Marx, Dániel [meta:ra/0607254]; Wheeler, Archer [meta:ra/0607255]; Wolfram, Christopher [meta:ra/0607256]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607257]","Ligett, Katrina [meta:ra/0611070756 orcid:0000-0003-2780-6656]; Gupta, Swati [meta:ra/0626093894 orcid:0000-0002-9566-3856]"
"meta:br/060327 doi:10.4230/lipics.ccc.2020.8","A Generalized Sylvester-Gallai Type Theorem For Quadratic Polynomials","Peleg, Shir [meta:ra/0605732]; Shpilka, Amir [meta:ra/061070416 orcid:0000-0003-2384-425X]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605733]","Shubhangi Saraf [meta:ra/0605734]"
"meta:br/060178","Critical Issues In Social Justice","","","","","","","book series","",""
"meta:br/060560 doi:10.4230/lipics.disc.2020.35","Improved Distributed Approximations For Maximum Independent Set","Kawarabayashi, Ken-ichi [meta:ra/0606441]; Khoury, Seri [meta:ra/0606442]; Schild, Aaron [meta:ra/0606443]; Schwartzman, Gregory [meta:ra/0606444]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606445]","Attiya, Hagit [meta:ra/0614045824 orcid:0000-0002-8017-6457]"
"meta:br/060841 doi:10.4230/lipics.fscd.2020.16","A Profunctorial Scott Semantics","Galal, Zeinab [meta:ra/0607285]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607286]","Zena M. Ariola [meta:ra/0607287]"
"meta:br/060253 doi:10.4230/lipics.approx/random.2021.14","Semi-Streaming Algorithms For Submodular Function Maximization Under b-Matching Constraint","Huang, Chien-Chung [meta:ra/0605442]; Sellier, François [meta:ra/0605443]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605444]","Wootters, Mary [meta:ra/0624053021 orcid:0000-0002-2345-2531]; Sanità, Laura [meta:ra/0690108433 orcid:0000-0002-6384-1857]"
"meta:br/060369 doi:10.4230/lipics.concur.2020.16","On The Separability Problem Of String Constraints","Abdulla, Parosh Aziz [meta:ra/0605889]; Atig, Mohamed Faouzi [meta:ra/0605890]; Dave, Vrunda [meta:ra/0605891]; Krishna, Shankara Narayanan [meta:ra/0605892]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605893]","Konnov, Igor [meta:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [meta:ra/0614082191 orcid:0000-0002-8299-2714]"
"meta:br/060719 doi:10.4230/lipics.esa.2020.35","Finding Large H-Colorable Subgraphs In Hereditary Graph Classes","Chudnovsky, Maria [meta:ra/0606948]; King, Jason [meta:ra/0606949]; Pilipczuk, Michał [meta:ra/0606950]; Rzaͅżewski, Paweł [meta:ra/0617014773 orcid:0000-0001-7696-3848]; Spirkl, Sophie [meta:ra/0606951]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606952]","Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]; Sanders, Peter [meta:ra/0619054475 orcid:0000-0003-3330-9349]"
"meta:br/060591 doi:10.4230/lipics.disc.2021.43","Brief Announcement: Fast Graphical Population Protocols","Alistarh, Dan [meta:ra/0606573]; Gelashvili, Rati [meta:ra/0606574]; Rybicki, Joel [meta:ra/0622057044 orcid:0000-0002-6432-6646]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606575]","Gilbert, Seth [meta:ra/0606576]"
"meta:br/060873 doi:10.4230/lipics.fscd.2021.21","Non-Deterministic Functions As Non-Deterministic Processes","Paulus, Joseph W. N. [meta:ra/0607375]; Nantes, Daniele [meta:ra/069089337 orcid:0000-0002-1959-8730]; Pérez, Jorge A. [meta:ra/0618037495 orcid:0000-0002-1452-6180]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607376]","Kobayashi, Naoki [meta:ra/0615033524 orcid:0000-0002-0537-0604]"
"meta:br/06026 doi:10.1002/(sici)1097-0215(20000115)85:2<223::aid-ijc12>3.0.co;2-h","Ras Gene Mutations In Vinyl Chloride-Induced Liver Tumours Are Carcinogen-Specific But Vary With Cell Type And Species","Boivin-Angèle, Sandra [meta:ra/060130]; Lefrançois, Lydie [meta:ra/060131]; Froment, Olivier [meta:ra/060132]; Spiethoff, Andreas [meta:ra/060133]; Bogdanffy, Matthew S. [meta:ra/060134]; Wegener, Kurt [meta:ra/060135]; Wesch, Horst [meta:ra/060136]; Barbin, Alain [meta:ra/060137]; Bancel, Brigitte [meta:ra/060138]; Trépo, Christian [meta:ra/060139]; Bartsch, Helmut [meta:ra/060140]; Swenberg, James [meta:ra/060141]; Marion, Marie-Jeanne [meta:ra/060142]","2","85","International Journal Of Cancer [meta:br/0622015443 issn:0020-7136 doi:10.1002/(issn)1097-0215 issn:1097-0215]","223-227","2000-01-15","journal article","Wiley [meta:ra/0610116001 crossref:311]",""
"meta:br/060483 doi:10.4230/lipics.cpm.2020.19","Longest Common Subsequence On Weighted Sequences","Kipouridis, Evangelos [meta:ra/0624085762 orcid:0000-0002-5830-5830]; Tsichlas, Kostas [meta:ra/0606231]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606232]","Gørtz, Inge Li [meta:ra/063027818 orcid:0000-0002-8322-4952]; Weimann, Oren [meta:ra/0612046045 orcid:0000-0002-4510-7552]"
"meta:br/060784 doi:10.4230/lipics.esa.2021.28","Dynamic Colored Orthogonal Range Searching","Chan, Timothy M. [meta:ra/0623096584 orcid:0000-0002-8093-0675]; Huang, Zhengcheng [meta:ra/0607119]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607120]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060900 doi:10.4230/lipics.fsttcs.2020.29","On Parity Decision Trees For Fourier-Sparse Boolean Functions","Mande, Nikhil S. [meta:ra/0607440]; Sanyal, Swagato [meta:ra/0607441]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607442]","Saxena, Nitin [meta:ra/064038085 orcid:0000-0001-6931-898X]; Simon, Sunil [meta:ra/06809004712 orcid:0000-0002-7489-7477]"
"meta:br/060505 doi:10.4230/lipics.cpm.2021.24","AWLCO: All-Window Length Co-Occurrence","Sobel, Joshua [meta:ra/0606289]; Bertram, Noah [meta:ra/0606290]; Ding, Chen [meta:ra/0606291]; Nargesian, Fatemeh [meta:ra/0606292]; Gildea, Daniel [meta:ra/0606293]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606294]","Gawrychowski, Paweł [meta:ra/0612046159 orcid:0000-0002-6993-5440]; Starikovskaya, Tatiana [meta:ra/0606295]"
"meta:br/060303 doi:10.4230/lipics.ccc.2020.2","A Quadratic Lower Bound For Algebraic Branching Programs","Chatterjee, Prerona [meta:ra/06209917485 orcid:0000-0003-2643-8142]; Kumar, Mrinal [meta:ra/0605637]; She, Adrian [meta:ra/0605638]; Volk, Ben Lee [meta:ra/0605639]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605640]","Shubhangi Saraf [meta:ra/0605641]"
"meta:br/060922 doi:10.4230/lipics.fsttcs.2020.9","Width Notions For Ordering-Related Problems","Arrighi, Emmanuel [meta:ra/0604390 orcid:0000-0002-0326-1893]; Fernau, Henning [meta:ra/0612046068 orcid:0000-0002-4444-3220]; De Oliveira Oliveira, Mateus [meta:ra/0614045759 orcid:0000-0001-7798-7446]; Wolf, Petra [meta:ra/062403091474 orcid:0000-0003-3097-3906]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607489]","Saxena, Nitin [meta:ra/064038085 orcid:0000-0001-6931-898X]; Simon, Sunil [meta:ra/06809004712 orcid:0000-0002-7489-7477]"
